"teamid","yearid","w","attendance"
"SFN",2016,87,3365256
"PHI",2016,71,1915144
"COL",2016,75,2602524
"COL",2015,68,2506789
"SFN",2015,84,3375882
"PHI",2015,63,1831080
"PHI",2014,73,2423852
"SFN",2014,88,3368697
"COL",2014,66,2680329
"PHI",2013,73,3012403
"SFN",2013,76,3326796
"COL",2013,74,2793828
"PHI",2012,81,3565718
"SFN",2012,94,3377371
"COL",2012,64,2630458
"PHI",2011,102,3680718
"SFN",2011,86,3387303
"COL",2011,73,2909777
"PHI",2010,97,3647249
"SFN",2010,92,3037443
"COL",2010,83,2875245
"PHI",2009,93,3600693
"SFN",2009,88,2862110
"COL",2009,92,2665080
"SFN",2008,72,2863837
"PHI",2008,92,3422583
"COL",2008,74,2650218
"SFN",2007,71,3223215
"PHI",2007,89,3108325
"COL",2007,90,2376250
"COL",2006,76,2104362
"SFN",2006,76,3130313
"PHI",2006,85,2701815
"PHI",2005,88,2665304
"SFN",2005,75,3181023
"COL",2005,67,1914389
"PHI",2004,86,3250092
"SFN",2004,91,3256854
"COL",2004,68,2338069
"PHI",2003,86,2259948
"SFN",2003,100,3264898
"COL",2003,74,2334085
"PHI",2002,80,1618467
"SFN",2002,95,3253203
"COL",2002,73,2737838
"PHI",2001,86,1782054
"SFN",2001,90,3311958
"COL",2001,73,3166821
"SFN",2000,97,3318800
"COL",2000,82,3295129
"PHI",2000,65,1612769
"COL",1999,72,3481065
"SFN",1999,86,2078399
"PHI",1999,77,1825337
"SFN",1998,89,1925364
"PHI",1998,75,1715722
"COL",1998,77,3792683
"COL",1997,83,3888453
"SFN",1997,90,1690869
"PHI",1997,68,1490638
"PHI",1996,67,1801677
"SFN",1996,68,1413922
"COL",1996,83,3891014
"PHI",1995,69,2043598
"SFN",1995,67,1241500
"COL",1995,77,3390037
"PHI",1994,54,2290971
"SFN",1994,55,1704608
"COL",1994,53,3281511
"PHI",1993,97,3137674
"SFN",1993,103,2606354
"COL",1993,67,4483350
"SFN",1992,72,1560998
"PHI",1992,70,1927448
"SFN",1991,75,1737478
"PHI",1991,78,2050012
"SFN",1990,85,1975528
"PHI",1990,77,1992484
"SFN",1989,92,2059701
"PHI",1989,67,1861985
"SFN",1988,83,1785297
"PHI",1988,65,1990041
"SFN",1987,90,1917168
"PHI",1987,80,2100110
"SFN",1986,83,1528748
"PHI",1986,86,1933335
"PHI",1985,75,1830350
"SFN",1985,62,818697
"SFN",1984,66,1001545
"PHI",1984,81,2062693
"SFN",1983,79,1251530
"PHI",1983,90,2128339
"SFN",1982,87,1200948
"PHI",1982,89,2376394
"SFN",1981,56,632274
"PHI",1981,59,1638752
"SFN",1980,75,1096115
"PHI",1980,91,2651650
"SFN",1979,71,1456402
"PHI",1979,84,2775011
"SFN",1978,89,1740477
"PHI",1978,90,2583389
"SFN",1977,75,700056
"PHI",1977,101,2700070
"SFN",1976,74,626868
"PHI",1976,101,2480150
"SFN",1975,80,522919
"PHI",1975,86,1909233
"SFN",1974,72,519987
"PHI",1974,80,1808648
"SFN",1973,88,834193
"PHI",1973,71,1475934
"SFN",1972,69,647744
"PHI",1972,59,1343329
"PHI",1971,67,1511223
"SFN",1971,90,1106043
"SFN",1970,86,740720
"PHI",1970,73,708247
"SFN",1969,90,873603
"PHI",1969,63,519414
"SFN",1968,88,837220
"PHI",1968,76,664546
"SFN",1967,91,1242480
"PHI",1967,82,828888
"SFN",1966,93,1657192
"PHI",1966,87,1108201
"SFN",1965,95,1546075
"PHI",1965,85,1166376
"SFN",1964,90,1504364
"PHI",1964,92,1425891
"SFN",1963,88,1571306
"PHI",1963,87,907141
"SFN",1962,103,1592594
"PHI",1962,81,762034
"PHI",1961,47,590039
"SFN",1961,85,1390679
"SFN",1960,79,1795356
"PHI",1960,59,862205
"SFN",1959,83,1422130
"PHI",1959,64,802815
"PHI",1958,69,931110
"SFN",1958,80,1272625
"PHI",1957,77,1146230
"PHI",1956,71,934798
"PHI",1955,77,922886
"PHI",1954,75,738991
"PHI",1953,83,853644
"PHI",1952,87,755417
"PHI",1951,73,937658
"PHI",1950,91,1217035
"PHI",1949,81,819698
"PHI",1948,66,767429
"PHI",1947,62,907332
"PHI",1946,69,1045247
"PHI",1945,46,285057
"PHI",1944,61,369586
"PHI",1943,64,466975
"PHI",1942,42,230183
"PHI",1941,43,231401
"PHI",1940,50,207177
"PHI",1939,45,277973
"PHI",1938,45,166111
"PHI",1937,61,212790
"PHI",1936,54,249219
"PHI",1935,64,205470
"PHI",1934,56,169885
"PHI",1933,60,156421
"PHI",1932,78,268914
"PHI",1931,66,284849
"PHI",1930,52,299007
"PHI",1929,71,281200
"PHI",1928,43,182168
"PHI",1927,51,305420
"PHI",1926,58,240600
"PHI",1925,68,304905
"PHI",1924,55,299818
"PHI",1923,50,228168
"PHI",1922,57,232471
"PHI",1921,51,273961
"PHI",1920,62,330998
"PHI",1919,47,240424
"PHI",1918,55,122266
"PHI",1917,87,354428
"PHI",1916,91,515365
"PHI",1915,90,449898
"PHI",1914,74,138474
"PHI",1913,88,470000
"PHI",1912,73,250000
"PHI",1911,79,416000
"PHI",1910,78,296597
"PHI",1909,74,303177
"PHI",1908,83,420660
"PHI",1907,83,341216
"PHI",1906,71,294680
"PHI",1905,83,317932
"PHI",1904,52,140771
"PHI",1903,49,151729
"PHI",1902,56,112066
"PHI",1901,83,234937
"PHI",1900,75,301913
"PHI",1899,94,388933
"PHI",1898,78,265414
"PHI",1897,55,290027
"PHI",1896,62,357025
"PHI",1895,78,474971
"PHI",1894,71,352773
"PHI",1893,72,293019
"PHI",1892,87,193731
"PHI",1891,68,217282
"PHI",1890,78,148366
"PHI",1889,63,NULL
"PHI",1888,69,NULL
"PHI",1887,75,NULL
"PHI",1886,71,NULL
"PHI",1885,56,NULL
"PHI",1884,39,NULL
"PHI",1883,17,NULL
